序号,时间,事件,存储,测量距离/m,标定时间/s,标定速度/(m/s),测量速度/(m/s),绝对误差/(m/s),相对误差/%
1,9:50,步行,U 盘,43.3,7.61,1.31,-1.7,0.39,43.3
2,9:54,步行,U 盘,41.18,3.11,3.22,2.55,0.67,41.18
3,9:56,步行,U 盘,47.24,3.18,3.14,2.5,0.64,47.24
4,9:59,步行,U 盘,48.9,5.93,1.69,1.8,0.11,48.9
5,10:00,步行,U 盘,43.3,5.99,1.67,-1.7,0.03,43.3
6,10:01,步行,U 盘,51.18,6.87,1.46,1.7,0.24,51.18
7,10:03,骑车,U 盘,35.43,3.05,3.28,2.55,0.73,35.43
8,10:05,骑车,U 盘,55.05,3.04,3.29,3.11,0.18,55.05
9,10:06,骑车,U 盘,39.9,2.27,4.41,-5.91,1.5,39.9
10,10:07,骑车,U 盘,55.11,2.15,4.65,-4.26,0.39,55.11
11,10:08,骑车,U 盘,35.43,2.1,4.76,-4.26,0.5,35.43
12,10:09,骑车,U 盘,47.24,2.34,4.27,4.15,0.12,47.24
13,10:09,汽车经过,U 盘,45.5,3.35,2.99,3.22,0.23,45.5
14,10:10,骑车,U 盘,43.3,2.24,4.46,-5.11,0.65,43.3
15,10:11,骑车,U 盘,49.8,2.88,3.47,4.26,0.79,49.8
16,10:12,骑车,U 盘,55.1,2.16,4.63,-5.9,1.27,55.1
17,10:13,骑车,U 盘,35.43,3.07,3.26,-3.41,0.15,35.43
18,10:14,骑车,U 盘,55.1,2.49,4.02,3.41,0.61,55.1
19,10:15,骑车,U 盘,39.7,3.02,3.31,3.41,0.1,39.7
