序号,时间,存储,标定距离/m,测量距离/m,绝对误差/m,相对误差/%
1,10:28,U 盘,35,35.43,0.43,1.23
2,10:29,U 盘,35,34.37,0.63,1.80
3,10:29,U 盘,35,35.43,0.43,1.23
4,10:30,U 盘,40,39.37,0.63,1.58
5,10:30,U 盘,40,43.3,3.30,8.25
6,10:31,U 盘,40,43.5,3.50,8.75
7,10:32,U 盘,45,47.24,2.24,4.98
8,10:32,U 盘,45,47.26,2.26,5.02
9,10:33,U 盘,45,47.24,2.24,4.98
10,10:33,U 盘,50,51.18,1.18,2.36
11,10:34,U 盘,50,51.18,1.18,2.36
12,10:35,U 盘,50,51.18,1.18,2.36
13,10:36,U 盘,55,55.11,0.11,0.20
14,10:36,U 盘,55,55.11,0.11,0.20
15,10:37,U 盘,55,55.11,0.11,0.20
16,10:38,U 盘,60,62.99,2.99,4.98
17,10:38,U 盘,60,59.09,0.91,1.52
18,10:26,U 盘,60,47.24,12.76,21.27
